"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3153","LoginErrorValidation","Surefire suite","Mon Sep 29 14:31:40 IST 2025","passed","Mon Sep 29 14:31:43 IST 2025","akhiraacademy.Tests.ErrorValidations","Surefire test","akhiraacademy.Tests.ErrorValidations","LoginErrorValidation"
"","5375","submitOrder","Surefire suite","Mon Sep 29 14:31:47 IST 2025","passed","Mon Sep 29 14:31:52 IST 2025","akhiraacademy.Tests.FinalSolution","Surefire test","akhiraacademy.Tests.FinalSolution","submitOrder"
"","1320","LogoutApplication","Surefire suite","Mon Sep 29 14:31:58 IST 2025","passed","Mon Sep 29 14:32:00 IST 2025","akhiraacademy.Tests.FinalSolution","Surefire test","akhiraacademy.Tests.FinalSolution","LogoutApplication"
"","3248","ProductErrorValidation","Surefire suite","Mon Sep 29 14:31:43 IST 2025","passed","Mon Sep 29 14:31:47 IST 2025","akhiraacademy.Tests.ErrorValidations","Surefire test","akhiraacademy.Tests.ErrorValidations","ProductErrorValidation"
"","6273","submitOrder","Surefire suite","Mon Sep 29 14:32:00 IST 2025","passed","Mon Sep 29 14:32:07 IST 2025","akhiraacademy.Tests.FinalSolutionJson","Surefire test","akhiraacademy.Tests.FinalSolutionJson","submitOrder"
"","0","submitOrder","Surefire suite","Mon Sep 29 14:32:00 IST 2025","broken","Mon Sep 29 14:32:00 IST 2025","akhiraacademy.Tests.FinalSolutionHashMap","Surefire test","akhiraacademy.Tests.FinalSolutionHashMap","submitOrder"
"","6241","submitOrder","Surefire suite","Mon Sep 29 14:31:52 IST 2025","passed","Mon Sep 29 14:31:58 IST 2025","akhiraacademy.Tests.FinalSolution","Surefire test","akhiraacademy.Tests.FinalSolution","submitOrder"
"","5554","submitOrder","Surefire suite","Mon Sep 29 14:32:07 IST 2025","passed","Mon Sep 29 14:32:12 IST 2025","akhiraacademy.Tests.FinalSolutionJson","Surefire test","akhiraacademy.Tests.FinalSolutionJson","submitOrder"
"","12309","ProductErrorValidation","Surefire suite","Mon Sep 29 14:31:28 IST 2025","broken","Mon Sep 29 14:31:40 IST 2025","akhiraacademy.ErrorValidations","Surefire test","akhiraacademy.ErrorValidations","ProductErrorValidation"
"","1","DemoTest2","Surefire suite","Mon Sep 29 14:32:13 IST 2025","passed","Mon Sep 29 14:32:13 IST 2025","seleniuminterview.DemoTestNG","Surefire test","seleniuminterview.DemoTestNG","DemoTest2"
"","0","DemoTest","Surefire suite","Mon Sep 29 14:32:13 IST 2025","passed","Mon Sep 29 14:32:13 IST 2025","seleniuminterview.DemoTestNG","Surefire test","seleniuminterview.DemoTestNG","DemoTest"
"","1306","LogoutApplication","Surefire suite","Mon Sep 29 14:32:12 IST 2025","passed","Mon Sep 29 14:32:13 IST 2025","akhiraacademy.Tests.FinalSolutionJson","Surefire test","akhiraacademy.Tests.FinalSolutionJson","LogoutApplication"
"","0","LogoutApplication","Surefire suite","Mon Sep 29 14:32:00 IST 2025","broken","Mon Sep 29 14:32:00 IST 2025","akhiraacademy.Tests.FinalSolutionHashMap","Surefire test","akhiraacademy.Tests.FinalSolutionHashMap","LogoutApplication"
"","10084","LoginErrorValidation","Surefire suite","Mon Sep 29 14:31:15 IST 2025","broken","Mon Sep 29 14:31:25 IST 2025","akhiraacademy.ErrorValidations","Surefire test","akhiraacademy.ErrorValidations","LoginErrorValidation"
"","3264","Simple addition","","Mon Sep 29 14:31:02 IST 2025","passed","Mon Sep 29 14:31:05 IST 2025","","Calculator","Simple addition",""
